student_id,name,class,comprehension,attention,focus,retention,engagement_time,assessment_score
1,Casey Lloyd,7,55.54,62.05,25.88,21.52,211.75,44.61
2,Austin Montes,4,71.92,74.23,31.65,86.16,232.08,68.64
3,Olivia Martinez,11,22.85,16.99,8.7,94.22,137.95,37.1
4,Christopher Pratt,8,99.63,19.5,30.32,51.85,217.78,60.28
5,Tiffany Pace,5,97.48,89.04,96.66,35.23,122.08,78.69
6,Randy Davis,7,65.03,75.0,94.47,23.41,71.27,54.41
7,Jenna Lynch,10,19.95,90.82,33.49,4.98,193.48,33.6
8,David Bryant,3,68.02,75.87,57.09,26.85,293.04,59.4
9,Jeffrey Thompson,7,7.22,59.72,90.96,65.42,100.07,47.31
10,Charles Smith,11,3.07,65.41,0.62,53.36,143.68,34.84
11,Harry Lamb,11,25.77,88.91,81.07,94.4,205.46,61.64
12,Marie Parker,8,46.26,57.88,94.84,39.63,167.04,56.13
13,Dylan Schultz,5,86.83,63.24,9.13,69.39,254.59,67.65
14,Justin Hill,4,72.72,15.65,16.14,48.93,230.91,44.16
15,Justin Hammond,8,74.27,47.39,96.07,51.26,26.91,64.43
16,Kevin Johnson,8,42.55,71.64,53.75,26.78,299.54,52.49
17,Mariah Smith,3,34.59,27.09,1.42,45.5,228.2,34.07
18,George Ball,6,37.1,20.23,25.76,47.08,260.53,37.29
19,Abigail Owens,5,98.76,31.38,44.99,70.66,198.85,69.0
20,Kevin Matthews,2,4.01,24.15,69.29,94.06,258.32,39.59
21,Patrick Larsen,8,86.7,21.49,73.32,32.93,42.59,51.16
22,Randall Graham,12,57.87,42.49,99.54,4.22,110.84,51.79
23,Ashley Miller,6,43.86,90.78,28.75,49.63,264.16,58.47
24,Kelly Jones,2,72.53,50.71,53.82,54.45,68.48,63.3
25,Leroy Spencer,12,48.67,18.79,53.33,16.84,32.69,31.53
26,Jamie Palmer,5,87.34,7.7,40.56,76.05,238.55,66.41
27,Brittany Rose,1,90.07,69.62,16.92,98.49,252.29,69.14
28,William Gonzalez,12,42.17,38.28,97.75,94.58,57.17,67.32
29,Katherine Cruz,10,27.68,82.18,85.33,19.71,257.76,58.43
30,Andrew Blackwell DDS,6,59.24,65.95,49.83,87.54,209.16,60.84
31,Tammie Rowland,12,91.24,79.62,60.32,70.45,160.82,76.35
32,Corey Garrett,9,21.07,27.19,22.73,45.38,250.77,33.48
33,Tonya Bishop,1,62.3,69.24,54.38,54.06,131.58,61.74
34,Rita Patterson,11,63.16,26.41,69.5,84.96,66.26,56.21
35,Sandra White,11,73.31,93.91,51.52,48.01,92.61,62.23
36,Shannon Gordon,10,13.16,63.64,99.03,37.32,156.5,56.01
37,George Howard,12,71.58,32.45,61.13,49.32,164.09,55.03
38,Robert Rodriguez,12,90.9,26.95,37.1,57.91,243.62,63.92
39,Michael Johnson,3,17.97,19.09,77.22,18.91,239.49,35.29
40,Christina Brown,12,23.75,69.46,17.05,90.09,178.6,56.73
41,David Mcintyre,7,97.14,21.87,38.45,67.42,236.43,59.18
42,Allison Peterson,4,18.1,59.53,34.7,63.33,65.61,36.06
43,Laura Finley,9,85.44,26.46,43.18,9.95,24.52,49.99
44,Janet Bradley,3,49.23,66.2,78.18,60.42,263.35,62.28
45,Dennis Solis,5,24.72,81.49,48.42,12.1,31.91,44.89
46,Elizabeth Wilkins,3,87.07,77.8,79.4,7.87,81.54,66.31
47,John Guzman,7,44.53,76.09,57.65,52.73,211.64,56.93
48,Jeremiah Walker,5,51.48,18.77,34.21,40.28,128.74,29.32
49,Stephen Perkins,9,35.92,8.84,81.0,58.88,264.13,49.23
50,Julie Mills,7,59.3,69.89,23.83,8.92,96.41,42.04
51,Kyle Bartlett,2,16.35,36.83,22.44,43.1,13.44,31.66
52,William Benson,4,39.11,43.23,50.45,17.48,97.19,45.15
53,Dawn Figueroa,9,96.94,3.11,26.08,98.71,177.64,57.16
54,Jeffrey Phillips,12,25.81,25.96,0.91,56.12,119.02,32.31
55,Cristina Williams,2,65.67,3.37,64.83,68.74,165.11,56.42
56,Tammy Chandler,10,32.52,87.92,51.11,32.54,264.21,58.24
57,Shane Gray,9,77.35,24.34,44.55,9.47,274.62,50.52
58,Laura Fuentes,10,13.09,55.73,96.7,97.59,87.13,47.12
59,Michael Hall,5,96.98,3.9,57.12,28.63,144.02,51.05
60,Douglas Serrano,2,45.38,66.68,86.34,42.38,169.25,52.56
61,Jared Hines,4,23.61,32.3,13.95,64.99,285.24,37.82
62,Michelle Klein,12,7.35,89.79,56.92,2.47,299.6,46.93
63,Deborah Sanchez,12,16.98,88.81,86.8,81.03,78.27,60.55
64,Barry Miller,7,51.98,32.53,58.31,53.66,220.82,57.59
65,Kevin Logan,12,33.7,90.1,71.8,27.82,119.63,53.75
66,Daniel Luna,8,82.89,99.62,37.2,6.16,12.35,47.38
67,Anthony Sims,3,43.09,82.54,9.24,16.25,12.68,22.35
68,Jennifer Martinez,1,24.87,84.49,45.79,89.5,143.56,56.95
69,Gina Schwartz,4,61.71,24.9,39.45,68.6,151.62,49.09
70,Kenneth Rodriguez,2,70.68,57.67,86.71,24.99,16.55,50.74
71,Diane Hernandez,8,16.7,6.73,24.4,6.56,209.21,11.02
72,Casey Harrison,4,16.76,9.49,96.67,69.06,95.26,39.58
73,Jenna Camacho,2,3.67,99.89,95.81,57.24,172.37,56.46
74,Ashley Rodgers,6,73.64,32.66,24.76,40.45,97.27,48.24
75,Michael Kennedy,6,66.38,74.82,34.81,36.36,58.47,52.0
76,Donald James,10,47.46,80.67,89.56,21.68,128.08,64.93
77,Sandy Garza,4,84.42,85.8,96.66,66.96,77.36,72.61
78,Ashley Boone,6,80.57,99.76,44.34,97.07,165.09,82.31
79,Jamie Bailey,2,58.54,24.15,32.1,17.57,67.66,34.82
80,William Bryant,10,86.83,4.04,52.61,59.71,157.44,58.04
81,Chris Taylor,12,20.58,41.12,68.78,42.42,55.64,36.31
82,Steven Novak,2,11.19,13.01,27.35,44.67,204.58,32.54
83,Misty Miller,10,26.97,2.24,73.65,25.41,228.64,37.45
84,April Lopez,4,5.71,36.04,5.17,82.51,42.01,24.46
85,Michelle Hart,8,53.12,78.37,4.93,48.53,145.66,47.1
86,Tiffany Mooney,7,93.66,56.62,38.63,54.34,30.55,57.84
87,Tiffany Gross,12,3.93,31.28,35.35,30.48,183.47,29.16
88,Paul Gonzalez,9,12.21,65.43,31.56,18.18,86.68,23.69
89,Wendy Hansen,8,45.22,23.2,49.1,8.59,163.01,35.03
90,Mr. Bradley Thompson,5,93.39,1.44,32.07,71.41,160.06,56.31
91,Michael Jones,2,31.62,76.44,19.23,19.62,278.06,41.98
92,Diana Woods,5,50.72,62.37,30.95,69.01,169.23,60.06
